iter	Passed	Remaining
398	92477	139296
399	92703	139054
400	92931	138818
401	93151	138568
402	93367	138314
403	93592	138071
404	93812	137822
405	94031	137572
406	94251	137324
407	94472	137077
408	94698	136838
409	94922	136595
410	95147	136354
411	95370	136111
412	95605	135884
413	95835	135651
414	96055	135403
415	96290	135177
416	96512	134932
417	96733	134686
418	96951	134435
419	97170	134187
420	97393	133944
421	97621	133708
422	97845	133467
423	98072	133230
424	98298	132992
425	98525	132755
426	98755	132521
427	98975	132275
428	99196	132030
429	99417	131785
430	99639	131543
431	99863	131301
432	100086	131059
433	100308	130817
434	100530	130574
435	100752	130331
436	100979	130095
437	101218	129874
438	101457	129653
439	101698	129434
440	101933	129208
441	102189	129007
442	102415	128771
443	102645	128538
444	102871	128299
445	103096	128061
446	103317	127817
447	103535	127570
448	103753	127323
449	103974	127079
450	104196	126837
451	104416	126593
452	104639	126352
453	104858	126106
454	105084	125870
455	105306	125628
456	105528	125387
457	105762	125160
458	106004	124942
459	106230	124705
460	106473	124488
461	106707	124261
462	106938	124029
463	107182	123814
464	107421	123592
465	107698	123413
466	107945	123201
467	108188	122983
468	108424	122758
469	108660	122532
470	108929	122342
471	109172	122124
472	109413	121904
473	109646	121675
474	109870	121435
475	110109	121212
476	110354	120996
477	110606	120787
478	110837	120556
479	111132	120393
480	111360	120158
481	111586	119920
482	111848	119722
483	112087	119498
484	112314	119262
485	112550	119035
486	112783	118804
487	113009	118567
488	113345	118445
489	113671	118311
490	113932	118108
491	114158	117870
492	114411	117660
493	114651	117436
494	114877	117197
495	115161	117019
496	115441	116834
497	115697	116626
498	115991	116456
499	116350	116350
500	116582	116116
501	116821	115890
502	117070	115673
503	117294	115433
504	117520	115193
505	117745	114952
506	117968	114711
507	118192	114470
508	118419	114231
509	118641	113989
510	118864	113747
511	119087	113504
512	119310	113263
513	119534	113022
514	119756	112779
515	119981	112540
516	120204	112299
517	120434	112064
518	120679	111843
519	120901	111600
520	121129	111365
521	121354	111125
522	121577	110884
523	121792	110636
524	122016	110395
525	122239	110155
526	122463	109915
527	122687	109674
528	122905	109429
529	123131	109191
530	123372	108966
531	123592	108724
532	123858	108521
533	124102	108299
534	124336	108068
535	124570	107837
536	124803	107605
537	125050	107385
538	125278	107149
539	125504	106910
540	125740	106682
541	125972	106449
542	126226	106234
543	126471	106012
544	126751	105820
545	127041	105635
546	127318	105439
547	127602	105248
548	127884	105056
549	128170	104867
550	128421	104648
551	128670	104428
552	128912	104202
553	129144	103968
554	129366	103726
555	129607	103499
556	129839	103265
557	130075	103034
558	130300	102795
559	130542	102568
560	130765	102327
561	130990	102088
562	131230	101861
563	131479	101640
564	131719	101412
565	131968	101191
566	132194	100952
567	132426	100718
568	132671	100494
569	132915	100269
570	133203	100077
571	133485	99880
572	133710	99641
573	133942	99406
574	134198	99190
575	134468	98984
576	134748	98784
577	134994	98560
578	135249	98341
579	135497	98119
580	135752	97900
581	136007	97682
582	136318	97503
583	136623	97321
584	136897	97115
585	137157	96899
586	137425	96689
587	137703	96486
588	137947	96258
589	138217	96049
590	138463	95823
591	138734	95613
592	138993	95397
593	139235	95167
594	139504	94956
595	139759	94736
596	140018	94518
597	140294	94311
598	140549	94090
599	140808	93872
600	141066	93653
601	141324	93433
602	141592	93221
603	141838	92993
604	142089	92769
605	142360	92557
606	142606	92330
607	142880	92120
608	143148	91906
609	143398	91680
610	143673	91471
611	143947	91261
612	144216	91047
613	144517	90853
614	144872	90692
615	145140	90476
616	145422	90270
617	145689	90054
618	145948	89832
619	146229	89624
620	146503	89411
621	146762	89190
622	147084	89006
623	147338	88780
624	147616	88569
625	148101	88482
626	148485	88333
627	148925	88216
628	149410	88125
629	149782	87967
630	150096	87774
631	150416	87584
632	150747	87400
633	151056	87202
634	151400	87025
635	151762	86857
636	152178	86719
637	152522	86541
638	152813	86331
639	153085	86110
640	153401	85914
641	153663	85687
642	154174	85599
643	154475	85393
644	154785	85192
645	155050	84965
646	155281	84720
647	155535	84488
648	155790	84256
649	156019	84010
650	156242	83761
651	156463	83510
652	156680	83259
653	156898	83007
654	157118	82756
655	157386	82532
656	157646	82302
657	157908	82074
658	158190	81855
659	158422	81611
660	158699	81390
661	158931	81146
662	159193	80917
663	159445	80683
664	159683	80442
665	159931	80206
666	160169	79964
667	160399	79719
668	160627	79473
669	160861	79230
670	161098	78988
671	161323	78741
672	161553	78496
673	161777	78248
674	161998	77999
675	162222	77751
676	162447	77504
677	162673	77258
678	162903	77013
679	163128	76766
680	163354	76519
681	163596	76281
682	163831	76039
683	164064	75796
684	164290	75549
685	164512	75301
686	164737	75055
687	164957	74806
688	165198	74567
689	165446	74331
690	165695	74095
691	165924	73850
692	166152	73605
693	166398	73368
694	166642	73131
695	166864	72883
696	167069	72628
697	167281	72376
698	167486	72122
699	167715	71878
700	167933	71629
701	168152	71380
702	168369	71132
703	168585	70882
704	168803	70634
705	169027	70388
706	169248	70141
707	169475	69896
708	169675	69641
709	169879	69387
710	170085	69134
711	170290	68881
712	170506	68633
713	170729	68387
714	170950	68141
715	171170	67894
716	171392	67648
717	171612	67401
718	171864	67168
719	172097	66926
720	172331	66685
721	172565	66444
722	172797	66203
723	173026	65960
724	173260	65719
725	173490	65477
726	173717	65233
727	174023	65019
728	174311	64798
729	174546	64558
730	174778	64316
731	175015	64076
732	175339	63868
733	175623	63645
734	175902	63420
735	176204	63203
736	176485	62979
737	176745	62746
738	176998	62512
739	177258	62279
740	177510	62044
741	177758	61808
742	177986	61564
743	178216	61321
744	178442	61077
745	178670	60834
746	178906	60593
747	179134	60350
748	179368	60108
749	179613	59871
750	179854	59632
751	180086	59390
752	180316	59147
753	180539	58902
754	180767	58659
755	180991	58415
756	181219	58172
757	181449	57929
758	181675	57686
759	181897	57441
760	182119	57196
761	182380	56964
762	182599	56718
763	182817	56472
764	183075	56238
765	183295	55993
766	183497	55743
767	183735	55503
768	183937	55253
769	184157	55008
770	184380	54764
771	184597	54518
772	184818	54273
773	185037	54028
774	185258	53784
775	185478	53540
776	185696	53295
777	185917	53050
778	186139	52807
779	186360	52563
780	186577	52318
781	186792	52072
782	187008	51827
783	187230	51583
784	187486	51349
785	187713	51107
786	187935	50864
787	188159	50621
788	188383	50378
789	188641	50145
790	188874	49904
791	189085	49658
792	189313	49417
793	189576	49184
794	189812	48945
795	190047	48705
796	190287	48467
797	190535	48230
798	190771	47991
799	190975	47743
800	191189	47499
801	191413	47256
802	191628	47012
803	191854	46770
804	192083	46529
805	192316	46289
806	192569	46054
807	192798	45813
808	193041	45575
809	193277	45336
810	193503	45095
811	193729	44853
812	193970	44615
813	194214	44378
814	194455	44140
815	194674	43897
816	194898	43655
817	195126	43414
818	195352	43173
819	195592	42934
820	195837	42697
821	196090	42462
822	196340	42226
823	196599	41992
824	196819	41749
825	197036	41506
826	197243	41261
827	197450	41016
828	197764	40793
829	198159	40586
830	198404	40349
831	198625	40107
832	198892	39874
833	199190	39647
834	199449	39412
835	199717	39178
836	199996	38947
837	200243	38710
838	200500	38475
839	200766	38241
840	200996	38000
841	201238	37762
842	201504	37528
843	201775	37294
844	202018	37056
845	202272	36820
846	202519	36582
847	202763	36344
848	202986	36102
849	203236	35865
850	203498	35630
851	203722	35388
852	203941	35145
853	204162	34903
854	204380	34660
855	204600	34418
856	204819	34176
857	205038	33934
858	205258	33692
859	205478	33450
860	205700	33208
861	205922	32966
862	206142	32724
863	206375	32484
864	206595	32243
865	206813	32001
866	207041	31760
867	207260	31518
868	207480	31277
869	207721	31038
870	207974	30802
871	208227	30565
872	208467	30326
873	208689	30085
874	208914	29844
875	209162	29607
876	209427	29372
877	209678	29135
878	209923	28897
879	210176	28660
880	210506	28433
881	210822	28205
882	211128	27975
883	211405	27740
884	211715	27511
885	212007	27278
886	212268	27042
887	212518	26804
888	212758	26564
889	213015	26327
890	213267	26089
891	213502	25850
892	213752	25612
893	214019	25375
894	214270	25137
895	214528	24900
896	214806	24665
897	215070	24428
898	215315	24190
899	215575	23952
900	215832	23715
901	216083	23476
902	216320	23237
903	216557	22997
904	216820	22760
905	217083	22522
906	217319	22283
907	217554	22042
908	217780	21801
909	217994	21559
910	218198	21316
911	218407	21074
912	218636	20833
913	218855	20592
914	219058	20349
915	219277	20108
916	219545	19871
917	219761	19630
918	219989	19389
919	220226	19150
920	220468	18910
921	220688	18669
922	220906	18428
923	221137	18188
924	221389	17950
925	221643	17712
926	221880	17472
927	222112	17232
928	222354	16993
929	222580	16753
930	222799	16512
931	223051	16274
932	223299	16035
933	223544	15796
934	223777	15556
935	224009	15316
936	224279	15079
937	224560	14843
938	224821	14605
939	225078	14366
940	225357	14129
941	225604	13890
942	225854	13651
943	226089	13412
944	226315	13171
945	226554	12932
946	226801	12693
947	227033	12453
948	227262	12213
949	227493	11973
950	227786	11736
951	228015	11496
952	228255	11257
953	228555	11020
954	228812	10781
955	229028	10541
956	229233	10299
957	229460	10059
958	229694	9820
959	229912	9579
960	230161	9340
961	230412	9101
962	230665	8862
963	230908	8623
964	231138	8383
965	231368	8143
966	231594	7903
967	231829	7663
968	232053	7423
969	232282	7184
970	232536	6944
971	232777	6705
972	233008	6465
973	233233	6225
974	233466	5986
975	233701	5746
976	233902	5506
977	234111	5266
978	234319	5026
979	234524	4786
980	234730	4546
981	234937	4306
982	235139	4066
983	235351	3826
984	235560	3587
985	235765	3347
986	235991	3108
987	236226	2869
988	236470	2630
989	236702	2390
990	236984	2152
991	237216	1913
992	237462	1673
993	237724	1434
994	237981	1195
995	238224	956
996	238445	717
997	238685	478
998	238928	239
999	239173	0
